order_id,order_date,customer_id,customer_name,city,state,product_category,product_name,order_value,discount_percent,payment_mode,delivery_days,rating,month,year
5271,2023-01-01 00:00:00,2516,Vikas Gupta,Mumbai,TS,Home,Mobile,88743.0,20.0,Unkonwn,13,3,1,2023
2220,2023-01-01 01:00:00,5658,Priya Singh,Unknown,TS,Fashion,Sofa,23597.0,10.0,Card,14,1,1,2023
1537,2023-01-01 02:00:00,881,Rahul Verma,Delhi,NA,Grocery,Unknown,48598.0,30.0,Unkonwn,6,4,1,2023
3550,2023-01-01 03:00:00,2006,Vikas Gupta,Pune,DL,Home,Shirt,72738.0,10.0,UPI,7,3,1,2023
6699,2023-01-01 04:00:00,3769,Priya Singh,Bangalore,KA,Home,Sofa,19335.0,20.0,UPI,6,5,1,2023
5307,2023-01-01 05:00:00,5215,Priya Singh,Unknown,TS,Electronics,Mobile,25073.0,10.0,COD,1,3,1,2023
1919,2023-01-01 06:00:00,1759,Vikas Gupta,Bangalore,TN,Unknown,Mobile,116023.0,20.0,Unkonwn,5,4,1,2023
6735,2023-01-01 07:00:00,3636,Rahul Verma,Bangalore,TN,Grocery,Laptop,78965.0,30.0,Unkonwn,2,2,1,2023
2372,2023-01-01 08:00:00,5673,Vikas Gupta,Hyderabad,MH,Electronics,Sofa,117889.0,20.0,Card,9,1,1,2023
4257,2023-01-01 09:00:00,4712,Amit Sharma,Bangalore,TS,Electronics,Shirt,1558.0,0.0,COD,7,3,1,2023
8566,2023-01-01 10:00:00,4391,Vikas Gupta,Bangalore,DL,Grocery,Rice,49690.0,20.0,Card,2,3,1,2023
3583,2023-01-01 11:00:00,3357,Sneha Patil,Hyderabad,TS,Electronics,Sofa,60807.5,0.0,COD,3,1,1,2023
4656,2023-01-01 12:00:00,1687,Unkonwn,Hyderabad,NA,Grocery,Mobile,97722.0,10.0,Unkonwn,10,4,1,2023
5441,2023-01-01 13:00:00,2701,Sneha Patil,Bangalore,NA,Home,Unknown,39204.0,5.0,COD,12,4,1,2023
5462,2023-01-01 14:00:00,1655,Unkonwn,Chennai,DL,Electronics,Laptop,30995.0,5.0,Card,3,3,1,2023
7698,2023-01-01 15:00:00,5762,Priya Singh,Hyderabad,DL,Fashion,Shirt,70741.0,20.0,UPI,3,1,1,2023
3778,2023-01-01 16:00:00,143,Priya Singh,Pune,NA,Electronics,Mobile,92358.0,30.0,Unkonwn,1,3,1,2023
6000,2023-01-01 17:00:00,800,Sneha Patil,Hyderabad,KA,Fashion,Rice,60026.0,0.0,COD,1,3,1,2023
4239,2023-01-01 18:00:00,3696,Amit Sharma,Chennai,MH,Unknown,Laptop,83933.0,0.0,UPI,9,4,1,2023
7118,2023-01-01 19:00:00,3033,Vikas Gupta,Bangalore,NA,Unknown,Rice,61207.5,5.0,COD,14,2,1,2023
2092,2023-01-01 20:00:00,3219,Unkonwn,Delhi,NA,Fashion,Unknown,33707.0,10.0,UPI,13,3,1,2023
2456,2023-01-01 21:00:00,4028,Priya Singh,Unknown,DL,Unknown,Mobile,23658.0,0.0,Unkonwn,2,4,1,2023
7015,2023-01-01 22:00:00,1140,Rahul Verma,Hyderabad,DL,Home,Shirt,104937.0,5.0,Unkonwn,8,3,1,2023
1391,2023-01-01 23:00:00,2318,Rahul Verma,Unknown,TN,Unknown,Mobile,55379.0,10.0,Card,8,5,1,2023
8084,2023-01-02 00:00:00,636,Rahul Verma,Pune,NA,Home,Rice,20077.0,30.0,Unkonwn,13,1,1,2023
8680,2023-01-02 01:00:00,1785,Vikas Gupta,Delhi,DL,Electronics,Sofa,96571.0,0.0,Unkonwn,11,1,1,2023
6195,2023-01-02 02:00:00,1241,Sneha Patil,Pune,TS,Grocery,Laptop,35267.0,30.0,UPI,11,3,1,2023
3871,2023-01-02 03:00:00,4799,Vikas Gupta,Bangalore,KA,Grocery,Sofa,64283.0,20.0,COD,1,1,1,2023
3298,2023-01-02 04:00:00,1985,Rahul Verma,Hyderabad,KA,Grocery,Shirt,14154.0,5.0,Card,8,3,1,2023
8174,2023-01-02 05:00:00,154,Rahul Verma,Delhi,TN,Unknown,Laptop,109284.0,30.0,Card,13,3,1,2023
8955,2023-01-02 06:00:00,3428,Unkonwn,Pune,KA,Electronics,Mobile,34909.0,0.0,COD,7,3,1,2023
4516,2023-01-02 07:00:00,5618,Sneha Patil,Unknown,NA,Unknown,Unknown,24884.0,30.0,COD,6,4,1,2023
4116,2023-01-02 08:00:00,1207,Vikas Gupta,Hyderabad,KA,Grocery,Laptop,31739.0,20.0,Unkonwn,4,2,1,2023
4775,2023-01-02 09:00:00,678,Sneha Patil,Mumbai,MH,Grocery,Unknown,34172.0,0.0,Card,8,1,1,2023
2349,2023-01-02 10:00:00,5881,Priya Singh,Unknown,DL,Grocery,Mobile,4932.0,30.0,Card,5,4,1,2023
4896,2023-01-02 11:00:00,5948,Vikas Gupta,Unknown,NA,Unknown,Laptop,61207.5,30.0,Card,13,1,1,2023
2176,2023-01-02 12:00:00,5000,Amit Sharma,Mumbai,KA,Home,Sofa,45059.0,0.0,COD,9,2,1,2023
5279,2023-01-02 13:00:00,4360,Rahul Verma,Hyderabad,DL,Unknown,Shirt,38105.0,5.0,UPI,4,4,1,2023
3997,2023-01-02 14:00:00,1090,Unkonwn,Chennai,TN,Electronics,Mobile,98457.0,10.0,Unkonwn,12,2,1,2023
8280,2023-01-02 15:00:00,4602,Priya Singh,Unknown,KA,Fashion,Mobile,29182.0,0.0,COD,2,3,1,2023
5859,2023-01-02 16:00:00,4669,Rahul Verma,Hyderabad,TS,Unknown,Unknown,33431.0,20.0,Card,1,5,1,2023
8357,2023-01-02 17:00:00,4914,Amit Sharma,Unknown,MH,Electronics,Mobile,24964.0,20.0,Unkonwn,9,4,1,2023
5032,2023-01-02 18:00:00,1119,Amit Sharma,Mumbai,KA,Grocery,Sofa,99347.0,30.0,Unkonwn,9,3,1,2023
5386,2023-01-02 19:00:00,4211,Vikas Gupta,Unknown,MH,Grocery,Sofa,104777.0,10.0,UPI,6,4,1,2023
1312,2023-01-02 20:00:00,5630,Priya Singh,Unknown,DL,Grocery,Mobile,60181.0,0.0,COD,3,5,1,2023
7345,2023-01-02 21:00:00,852,Priya Singh,Hyderabad,TS,Unknown,Laptop,60686.0,0.0,UPI,5,3,1,2023
6582,2023-01-02 22:00:00,945,Priya Singh,Chennai,TS,Unknown,Rice,42127.0,0.0,UPI,6,2,1,2023
7694,2023-01-02 23:00:00,4454,Vikas Gupta,Hyderabad,DL,Electronics,Laptop,4065.0,20.0,UPI,14,4,1,2023
